RegionName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
"NEW YORK, NY",39436.87064673295,39820.673103452544,39650.57002380251,37115.64687734336,34155.20355601346,30885.12865391445,31271.463621907093,32064.891007666545,33664.7680863566,32381.74589087421,32868.60056293046,32815.520497450525,33740.74789110681,33746.48267010356,33931.92684064957,33188.86934126957,31237.581305296346,28873.85999002782,29571.09384048091,30501.11038097667,32162.4678069763,31185.759560085484,31892.51391821736,33443.18809795266,33494.45791213057,31199.17213024416,29009.512035271186,28812.71457546445,31034.14496902109,32737.550110546774,35727.61906786874,37264.87880216315,38500.422162119154,37597.27289982541,38060.3178532545,39652.206828268216,41128.23345196709,42801.88759203396,42770.396482652606,42136.58336232302,39261.536875213766,36713.13296975518,36904.37138355895,37819.03748341909,38789.79826810773,37760.85387579788,38508.718751239765,,67482.85311909176,69621.91716209588,59198.27024222174,48412.47928402831,45928.69119699908,41064.10435135624,40128.4714465664,41383.30711103007,43361.915000557725,41058.74126596307,41639.2789647124,42407.68746042104,47046.89669038367,49501.006520650895,53519.71353100963,53924.180308068,52469.90820865174,49524.85329538213,50557.89470200962,52511.81352817776,54492.59064005228,51184.65243329112,50844.08887600044,51417.42709583791,54706.92019137878,56164.67354465313,58111.02745653487,57486.87601446901,55388.694257333285
"LOS ANGELES, CA",44820.20342768711,43563.04510204997,43375.40575166014,42113.06972360768,39234.31062969053,35823.10150697079,34515.97741288791,34351.72511442702,35409.71471647405,34176.261475595755,34620.15615539836,34639.98040059792,36175.39263237473,36728.00910086435,37703.89015210266,38396.6506853452,38288.697475914894,37584.24305077161,38064.7938296049,38006.1256372342,39607.18770218888,38320.55912483083,41132.34270871081,46590.34877815467,50357.80354814528,47879.01594293855,41174.45720592258,40389.367319827805,43297.578477589246,48639.9827405874,50926.94433421021,51436.7816464704,50647.82628441635,50474.28151706045,54255.56422854964,57520.69416064546,63490.80661929678,66924.93082406615,69362.5120722539,69683.31208937628,66663.21190357018,62517.87721856369,57409.17849525133,56615.20968599477,56662.94560532233,56095.820430492335,61133.39388041816,68467.61362393596,74432.94771798853,72451.81828559113,67603.81971459126,63542.67881765776,57408.76513796635,52493.382072934764,49098.04380829434,48979.27137802926,49284.31259798005,48026.68871667708,49775.83625809589,53795.70849986485,59141.750336445606,63984.443324943626,68609.23775245345,73042.34946717694,74804.02334996212,71090.47441956379,68867.91919765514,66724.97869293847,65375.05622187504,61873.06349945887,62277.83091223839,64190.18893813961,66579.29992032512,68850.35901558287,70398.55937797687,71750.59659461492,67282.76898694928
"CHICAGO, IL",12415.627446778728,13023.392015558062,13267.98556016572,13241.713718508798,12701.101798448828,11855.022242026374,11464.237322102512,11043.888183784087,10740.451041851922,10035.37026386566,10408.07570944172,11126.672284143931,12048.120646474386,12398.12565275988,12680.018857496398,12794.476677123455,12407.673391004928,11666.517898402622,11332.880242242529,10966.981646796849,10632.17112332894,9695.188185309204,9844.625952821963,10974.629272702708,11885.1247258697,11706.23794283773,11043.938042837835,11230.281773806772,12039.993745609136,12554.812538935948,12757.103039027852,12476.776145144611,11871.910421731574,11219.684561533286,11395.68775696843,12365.711077800015,14028.45927864898,15174.960495220548,16182.546169437344,16349.699876332816,15866.676294629202,14834.965275033588,14000.728449200737,13458.447508564976,12876.45623911146,11999.97654104954,11925.79618432545,12739.580363883942,14858.912225883158,16470.536398946242,17829.56026254793,17710.09939622633,17086.648022353857,15560.42345764693,14609.144862143896,13954.109155075605,13482.17368766023,12544.442416890275,12428.724007148516,13006.423195809904,14390.726589531298,15973.314706249825,17626.085476226388,18534.896352282874,18419.254671378112,17817.217580880406,17178.000128349646,16122.218138457616,14696.777856818371,12957.542458040873,12537.54044164463,13405.146230697055,15298.89793904172,16942.97780144354,18041.21733911076,18543.7866935236,17906.156090561246
"DALLAS, TX",12578.20406031575,12725.988139612158,12892.375575367818,12323.929392608634,11560.4592593416,10633.957505900844,10201.526970433517,10115.212872841665,10186.88779150721,9930.979554640966,9941.986427603457,10220.38961693008,10705.878018789745,11000.85488070803,11155.98778798715,11040.039635280771,10632.893255889096,10090.064485856446,9937.23325406253,9797.744268252014,9704.291763667128,9250.367200397335,9181.406163645624,9744.328250449573,10414.203832901563,10367.509657369505,10076.54717022044,10235.644169909525,10919.917513255969,11322.824348593698,11606.785751578836,12091.86154151307,12542.780890354596,12672.276162954817,13112.649179050137,14050.207309675488,15500.21374875416,16958.798987936327,18701.15819825189,19750.70017496579,19072.26754391768,17912.06685716142,16798.632305418334,16702.23298447773,16758.62140186043,16738.706851829334,17755.640125861497,19688.828723776063,21130.43389247968,22331.636609407276,22527.989688493584,23071.447641168037,21726.41691491641,19647.969244100303,17448.962468157228,16480.494394318568,15775.58715224952,15063.329080238816,14672.75094459999,14157.221335846189,14837.948197468666,15555.669261460964,16889.71711956807,17062.51924737175,16829.372237546166,15959.81025621989,15598.156821539582,15301.96746180918,15201.502219351352,14886.132199693568,14460.979844647392,14225.860502935268,14115.933383872423,14551.0505339734,14948.334136213824,15721.274602585434,15516.52750179176
"HOUSTON, TX",14404.246526427336,14297.572384200525,14289.299642208038,13966.255007312904,13167.970117616112,12535.1311615218,12562.518374280102,12803.818032558396,13018.077208337772,12640.857956811276,12860.330549340431,12942.353180999888,13195.84793055492,13190.451340937609,13343.821355027409,13190.074989658591,12562.28099629114,11837.334224141465,11646.18521303436,11508.157701885117,11576.0176143403,11256.989907800858,11314.876946720446,12175.420987303183,12894.988425042156,13299.495271545393,12891.11980339544,12829.919992895042,12903.76997367388,12975.857071582031,13130.20904914011,13378.815172476485,13395.08301259662,13570.843081515764,14050.415987137649,14747.215372014043,15820.643695613888,16861.33858923825,18530.922175680054,19476.109164675046,19201.71675885204,18195.14360227336,17448.68233823038,17371.235314817834,17372.584595828477,16816.268248922566,17469.34690215484,18101.154855731394,19105.610910056548,19638.20687914095,20434.355390197696,20632.377885833685,19364.026564097465,17574.10540907239,15970.432587850277,15256.356363448533,15165.62708174609,15160.453256449808,15317.87171209415,15403.351404795389,15928.201338380695,16532.9886015362,16982.930031760614,16949.56622638089,16596.27628742759,15993.13338839482,15594.890793956523,15176.38382507675,14953.226889545636,14684.19798725807,14608.2902534829,14593.63204939927,14634.137906272868,14948.387772562108,14984.755601030149,15072.242055338824,14916.950252175398
"WASHINGTON, DC",17227.355106396877,17340.014009149054,17394.85462341474,17213.934775824586,16427.411984236915,15250.658515181198,14955.580517846953,14990.898419359935,15532.14960711333,15435.483144322305,15694.366869098632,15984.53589303087,16713.798132487136,17338.808114943517,17918.240496852133,17827.007571409675,17171.432474365425,16080.527484290556,15947.387727052444,16441.337718881878,16731.32677166899,16172.147531303212,16652.37560925483,18955.654070759545,20244.16438468496,19398.869356179624,17796.171192750302,18140.369934392165,19951.016544190705,21008.91781775646,21086.47850399447,19744.824840312365,18488.76308598651,17598.592928913775,18926.05613671526,20235.16227952819,21099.470784708752,22299.92004493289,23471.064140789786,24129.16887768633,22290.46544263834,20018.473890405232,18786.618367365238,18369.51152524441,18449.457770969904,18014.385460041358,18582.532837800696,19504.435177583306,22146.726536374117,23884.49110251947,25539.63644989857,25161.14781831036,23863.05298949065,21771.6792825168,20374.292820365103,19934.595844539483,20041.55448467018,19306.998408680647,19637.47168379228,20756.180294219925,23201.68622910663,25088.034138805622,27061.915174454287,28710.128984550727,28088.87288298934,26415.51879468368,24230.75447268606,23882.995895752814,22931.78738848025,22209.94543635134,21741.33501932797,22203.53027987322,24020.64678344097,25450.43441330784,27347.778797385807,27118.20520790051,25741.39255539245
"PHILADELPHIA, PA",11141.206283763357,11376.225288912794,12185.349729437992,12633.552936958722,12837.547209482787,11997.791110260792,11840.480510157942,11828.36021192801,11803.907690089129,11256.61921245823,10996.935036930276,10981.7270948376,11246.744311624989,11809.030599720269,12651.223400236497,12915.80447782231,12572.66626736232,11879.416151004489,11893.652270113227,12003.21236971278,11869.251639798871,11034.122795047437,11115.934086122776,12410.202550012871,13273.203252664343,13208.59171626973,12206.180904158378,12525.946669683712,13482.145571774625,14354.252787588604,14746.856820471165,14458.486206436495,14245.63984883556,14040.39479083193,13943.540366562269,14301.51768221872,14703.776153229372,16208.665260037596,17319.03447361942,17916.134784283324,17114.732152356006,15836.135273209768,15279.369262384304,15075.987944677408,15046.014444734808,14311.705663001205,14038.165990077085,14244.561904013995,15435.43171661837,16450.400187858857,18034.28549933777,18073.47031172285,17968.341022723227,16431.749423551202,16174.898817804811,15816.68765113256,15914.395049074956,14950.8261093954,14436.759814142182,14234.70178598773,15117.363461332468,15751.43451292336,16512.954606828607,17030.79656067727,17141.554933071995,16984.81920445996,16569.798905747422,16601.296201173736,16134.452541283172,15264.008256126312,14786.571734430572,14876.885466961949,15752.538894710711,16396.34981081374,17674.00160364351,18355.130849605383,18379.01246541472
"MIAMI, FL",24118.924607672525,23443.754162594007,23133.54458513549,22266.278447686364,21213.949536062595,19814.74666424252,19017.722518834937,19054.250864339487,19802.23396615925,20891.938166269272,21599.07916839736,22238.070450691142,22048.926207061824,21953.22337465837,21434.891271952085,20640.58578665237,19889.159722129923,19087.17736512601,19370.451311286,19687.940650045268,20679.006896250783,21277.12240916054,22495.37526160508,24480.42135086676,25143.424829200387,23466.88201910453,21645.14398811409,20567.074158109463,20972.30551431984,20633.858314405723,20946.61892240334,21283.99576805792,21209.5750238902,21204.13187166052,22435.3615954708,22652.72470227013,23562.65092376704,23450.33157611549,25151.20917294145,26801.53876755589,27754.4109028646,28217.758908900065,27627.00743711528,27540.906152147712,27864.4854730045,28453.186934162368,30385.93156577653,33759.14725861018,39065.19909841418,43433.43706150652,46954.0538692924,47966.58387697237,45315.05330212219,40191.037112240905,35684.522579363,34316.04312128556,33993.883065635666,34247.41896457485,35446.56226628018,36942.92589970833,37423.00554891888,37814.175433573175,37455.55564999883,37143.80355718184,35280.90065121765,33799.25730997377,32208.271993031405,31350.801761881885,30880.67360119213,31478.969220710704,31789.692844688663,32257.43170940724,31987.572286690225,31563.95193017408,30735.756831243834,29714.734194414414,28198.58557387644
"ATLANTA, GA",13129.588121117054,13509.943585621122,13486.99073147942,13169.63048201288,12435.86081430508,11627.851359434251,10988.648252081975,10765.576910656628,10297.596037865163,9750.091854957756,9655.047326127413,10094.386065492155,10615.889920292508,10830.504377737896,10988.70482492581,11025.463025074125,10862.531603425305,10406.409400903554,10034.639206776275,9688.852298500198,9314.821129094184,8890.525522466292,9064.60023468902,10128.411762905203,11224.16660395816,11276.173938565636,11051.735259057736,11129.44378291815,12031.80368371615,12527.718103172512,12906.358036084062,13107.676439262408,13311.269980919964,13310.066440476176,14260.546672275845,15137.115855355069,17298.247312929077,18337.67947635292,20022.0783644266,20531.609160489108,20404.337427326307,19903.23002843876,18890.09335847918,18768.241920421337,18051.924145239023,17440.284947486005,17160.78831130944,17631.213237441025,18944.017528293287,19198.29471144444,20070.36035447288,19962.0956591352,19428.93862254425,17711.772432282174,16193.826715435229,15558.899465660814,15047.872521767102,14298.738498375287,14069.163277941436,14178.012900583824,14982.224390186346,16086.124584693716,16822.47901654989,17755.278118885315,17488.129196152,16990.029610800935,16141.170922671728,15747.290977541408,15376.995855452427,14971.01475197198,14546.560077827757,14283.97265783278,14558.559915605614,14676.181759319365,15077.22614285759,15084.118827313365,15073.633093530552
"BOSTON, MA",26125.165565027244,27519.16519046982,29471.64059080814,27726.60019055824,26024.056440376284,22806.85121253276,22304.778414041182,21922.59679515485,21510.311842676307,19994.61016229352,20137.96946172441,21364.47324576617,23792.356308559272,25865.31029704488,27790.4864278367,27764.1746650834,26284.950337860097,23800.17566818341,23562.876206456836,23335.066876278408,23389.09789481152,21529.704832176518,21469.24372268822,23681.58567241985,25108.983723472556,24966.669567179677,24318.043228861905,26127.72596846448,28639.963967413933,29687.253539533976,30838.87949095813,30327.61158003281,29755.8122831431,26733.30673166303,28204.929765872457,29751.593421321933,33457.521856836735,35218.91001315532,38412.83750422207,39904.6795327177,39233.85712060775,35513.17180083013,33586.48644613105,32544.754605485283,32574.726693759832,30954.255495383222,32981.341614736935,40114.50418143344,47572.28607386679,49037.479503445975,47359.031601186005,45606.08234505356,43937.63709167168,39939.449906762726,38509.873383962295,39232.41143144062,39867.86232210954,35021.12456217684,34510.0725332686,35286.10830459121,43306.591491363455,48784.44283762434,55306.82019266338,54906.10592871541,52514.21936791277,47386.19851135387,46913.798868682825,45631.700856503165,43992.88351818911,37419.86261974114,36520.86156603555,38522.77301904981,46781.642449540486,52148.83493225023,55122.54262372449,52441.547652524605,47363.24197263338
